Branch;WHSE;GRP;Code;Description;OH;OnSO;OnPO;AVGCost;Value;Stk Fctr B3 Max;LastGRVDate;LastTransDate;B3Max;GRP Sales;Branch#1;B#1OH;B#1Sales;Branch#2;B#2OH;B#2sales;Branch#3;B#3OH;B#3sales
Wadeville;Wad_MW;DISP;GNYLON-W8;Glove Nylon K/W M/Knitted Composite White S08  Machine Knitted Composite Knit Wrist;318;0;0;R5,16;R1 640,19;99,0;2020/02/10;2022/08/01;0,0;12,0;Tzaneen;0;12;;;;;;
Wadeville;Wad_MW;CS;SOJJ54N44/112N;C/Suit Jacket J54 Navy S/Orr AGP S44/112 Nigel 2402547;7;0;0;R233,64;R1 635,50;99,0;;2020/10/13;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKORGINBR06;Veldskoen Shoe The Orgin Brown S06 ;2;0;0;R810,00;R1 620,00;99,0;;;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKORGINBR07;Veldskoen Shoe The Orgin Brown S07 ;2;0;0;R810,00;R1 620,00;99,0;;;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKORGINBR08;Veldskoen Shoe The Orgin Brown S08 ;2;0;0;R810,00;R1 620,00;99,0;;;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKORGINBR09;Veldskoen Shoe The Orgin Brown S09 ;2;0;0;R810,00;R1 620,00;99,0;;;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKORGINBR10;Veldskoen Shoe The Orgin Brown S10 ;2;0;0;R810,00;R1 620,00;99,0;;;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKORGINBR11;Veldskoen Shoe The Orgin Brown S11 ;2;0;0;R810,00;R1 620,00;99,0;;;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKORGINBR12;Veldskoen Shoe The Orgin Brown S12 ;2;0;0;R810,00;R1 620,00;99,0;;;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKCHELGR06;Veldskoen Chelsea Farmer Brown S06 ;2;0;0;R808,16;R1 616,32;99,0;;;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKCHELGR11;Veldskoen Chelsea Farmer Brown S11 ;2;0;0;R808,16;R1 616,32;99,0;;;0,0;;;;;;;;;;
Wadeville;WadMarberry_Cons;SHOE;VSKCHELGR12;Veldskoen Chelsea Farmer Brown S12 ;2;0;0;R808,16;R1 616,32;99,0;;;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;MBLYJJ54REFP#52;MB C/Suit Jkt J54 Ladies Ref Tape Yellow S52/132  ;8;0;0;R200,00;R1 600,00;99,0;2020/07/31;2020/08/03;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;AM0212382;MB C/Suit Jacket D59 Closed Front Orange S102/40 J0799800B59 50mm Ind Wash Silver Tape Arms/Breasts X On Back;12;0;0;R132,54;R1 590,48;99,0;2021/05/17;2021/05/26;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;T1JEM400STD52;MB Denim Stretch Jeans Indigo Blue S52/132  ;7;0;0;R225,00;R1 575,00;99,0;2023/09/14;2022/08/29;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;MBCSEGC958;MB C/Suit P/Cott C9 Cut 80/20 E/Green S58/147;10;0;0;R156,80;R1 568,00;99,0;2021/10/20;;0,0;6,0;Tzaneen;7;6;;;;;;
Wadeville;Wad_MW;BOOT;FBB30403;Safety Boot Rebel Hiker Hi STC Black S03 RE304-BK;2;0;0;R779,95;R1 559,90;99,0;2022/07/05;2022/04/21;0,0;9,0;Rustenburg;3;6;Middelburg;0;3;;;
Wadeville;Wad_MW;GLOV;55MJAXJSI;Glove TaeKi5 Leather Palm Grey PVC Dotted XL S10  Back Cut 5 Seamless Knit Wrist ;14;0;0;R111,32;R1 558,48;99,0;;2020/01/20;0,0;;;;;;;;;;
