;;;;Sales Analysis;;;;;;;;
Pienaar Bros North (Pty) Ltd;;;;;;;;;;;;
From:;01/01/2026;;;;;;;;;;;
To:;02/04/2026;;;;;;;;;;;
Sales Analysis Report;;;;;;;;;;Page 1 of 489;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
LOVEBM;Underwear Thermal Vest Mens Long Sleeve Black M;;05/01/2026;010-INV179102;SERI001_TVL;80,14;94,00;12;1 122,00;961,68;160,32;14,29
LOVEBXL;Underwear Thermal Vest Mens Long Sleeve Black XL;;05/01/2026;010-INV179102;SERI001_TVL;80,14;94,00;6;561,00;480,84;80,16;14,29
LOVEBXL;Underwear Thermal Vest Mens Long Sleeve Black XL;;05/01/2026;010-INV179102;SERI001_TVL;80,14;94,00;6;561,00;480,84;80,16;14,29
FBB9000608;Safety Boot Bova Chelsea STC Black S08 ;;05/01/2026;010-INV179103;MACH001_WAD;701,39;997,00;1;997,00;701,39;295,61;29,65
FBB9000610;Safety Boot Bova Chelsea STC Black S10 ;;05/01/2026;010-INV179103;MACH001_WAD;707,87;997,00;1;997,00;707,87;289,13;29,00
FBB2070207;Safety Boot Bova Munich TRAX STC SMS Black S07 ;;05/01/2026;010-INV179104;BCPE001_TVL;687,96;998,00;1;998,00;687,96;310,04;31,07
FBB2070210;Safety Boot Bova Munich TRAX STC SMS Black S10 ;;05/01/2026;010-INV179104;BCPE001_TVL;672,91;998,00;2;1 996,00;1 345,82;650,18;32,57
MBCSJNAF36;MB C/Suit Jacket D59FA Navy S36/92;;05/01/2026;010-INV179104;BCPE001_TVL;225;315,00;1;315,00;225,00;90,00;28,57
MBCSJNAF38;MB C/Suit Jacket D59FA Navy S38/97;;05/01/2026;010-INV179104;BCPE001_TVL;225;315,00;1;315,00;225,00;90,00;28,57
MBCSTNAF30;MB C/Suit Trouser D59FA Navy Sasol Spec S30/77;;05/01/2026;010-INV179104;BCPE001_TVL;225;315,00;1;315,00;225,00;90,00;28,57
MBCSTNAF32;MB C/Suit Trouser D59FA Navy Sasol Spec S32/82;;05/01/2026;010-INV179104;BCPE001_TVL;225;315,00;1;315,00;225,00;90,00;28,57
M6059;3M6059 ABEK1 Org/Inorg Vapour Acid Gas/Ammonia GT;;05/01/2026;010-INV179105;ONLI001_WAD;92,4;142,00;2;284,28;184,80;99,48;34,99
M7502;3M7502 Silicone Half Mask Medium XA007709331;;05/01/2026;010-INV179105;ONLI001_WAD;236,58;364,00;1;363,97;236,58;127,39;35,00
WEBTRANSPORT;Transport Charges On Line Store;;05/01/2026;010-INV179105;ONLI001_WAD;0;100,00;1;100,00;0,00;100,00;100,00
M6503QL;3M Quick Latch Drop Down Silicon Dual Facepiece L;;05/01/2026;010-INV179106;ONLI001_WAD;405,79;624,00;1;624,29;405,79;218,50;35,00
M9152E;3M9152E Vflex Healthcare Respirator Unvalved FFP2;;05/01/2026;010-INV179106;ONLI001_WAD;6,81;10,00;25;262,00;170,25;91,75;35,02
M2128;3M2128(2078) O/Vapour Acid Gas P95/P2 70071091691;;05/01/2026;010-INV179106;ONLI001_WAD;85,94;132,00;2;264,42;171,88;92,54;35,00
Sage 200 Evolution (Registered to Brian Pienaar North (Pty) Ltd);;;;;;;;;04/04/2026 18:43:19;;;
Sales Analysis Report;;;;;;;;;;Page 3 of 489;;
